,ID,Name,Score,Submission TimeStamp,Time spent(minute),Status,Grade,Class
0,ID29093,Jesse Townsend,70,2020-01-01 10:40:08,9,On Time,C,Chemistry
1,ID70231,Monique Hamilton,84,2020-01-01 15:34:48,29,On Time,B,Chemistry
2,ID69628,Kim Miller,81,2020-01-01 22:08:03,29,Late,B,Chemistry
3,ID32904,Anthony Fitzpatrick,78,2020-01-01 21:34:15,11,On Time,B,Chemistry
4,ID61515,Gabriela Parker,88,2020-01-01 18:13:35,25,On Time,A,Chemistry
5,ID55840,Christina White,93,2020-01-01 22:44:00,22,Late,A,Chemistry
6,ID66821,Gregory Sims,77,2020-01-01 17:36:10,27,On Time,B,Chemistry
7,ID76435,Christine Blanchard,76,2020-01-01 22:51:10,32,Late,B,Chemistry
8,ID24413,Stephanie Meyers,83,2020-01-01 03:57:40,7,On Time,B,Chemistry
9,ID79848,Matthew Martinez,71,2020-01-01 21:00:18,34,On Time,C,Chemistry
10,ID25900,James Ayala,97,2020-01-01 05:42:13,7,On Time,A,Chemistry
11,ID20505,Cheryl Randall,89,2020-01-01 03:51:30,5,On Time,A,Chemistry
12,ID69761,Cynthia West,98,2020-01-01 19:46:22,29,On Time,A,Chemistry
13,ID44526,Stephanie Martinez,55,2020-01-01 13:52:34,16,On Time,D,Chemistry
14,ID16276,Tracy Lynch,89,2020-01-01 21:53:53,3,On Time,A,Chemistry
15,ID96352,Patricia Hunter,80,2020-01-01 23:58:16,13,Late,B,Chemistry
16,ID94869,Kevin Rice,92,2020-01-01 16:27:23,21,On Time,A,Chemistry
17,ID36802,Scott Cox,86,2020-01-01 04:55:24,14,On Time,A,Chemistry
18,ID53955,Dr. Robert Zamora,80,2020-01-01 02:08:58,19,On Time,B,Chemistry
19,ID40107,Dawn Boone,69,2020-01-01 11:48:11,13,On Time,C,Chemistry
20,ID50554,Michelle Wang,94,2020-01-01 10:42:17,11,On Time,A,Chemistry
21,ID36721,Katherine Aguilar,95,2020-01-01 22:29:49,9,Late,A,Chemistry
22,ID33391,Michael Callahan,64,2020-01-01 01:43:50,12,On Time,D,Chemistry
23,ID28459,Paul Mccarthy,85,2020-01-01 23:25:54,22,Late,A,Chemistry
24,ID34719,Anthony Larson,93,2020-01-01 19:48:43,23,On Time,A,Chemistry
25,ID55482,Eric Howell,93,2020-01-01 23:17:00,40,Late,A,Chemistry
26,ID58504,Nicole Carroll,84,2020-01-01 08:29:56,26,On Time,B,Chemistry
27,ID92093,Adam Wilson,89,2020-01-01 07:30:39,13,On Time,A,Chemistry
28,ID63699,Joseph Cortez,88,2020-01-01 05:56:17,25,On Time,A,Chemistry
29,ID37634,James Mayer,85,2020-01-01 09:59:41,29,On Time,A,Chemistry
30,ID62830,Micheal Montgomery,92,2020-01-01 01:55:01,35,On Time,A,Chemistry
31,ID70438,Karen Gardner,93,2020-01-01 15:16:35,17,On Time,A,Chemistry
32,ID82797,Candace Lindsey,85,2020-01-01 03:00:43,24,On Time,A,Chemistry
33,ID46146,Amber Gonzalez,48,2020-01-01 21:35:55,10,On Time,D,Chemistry
34,ID59164,Brandon Taylor,95,2020-01-01 12:21:03,40,On Time,A,Chemistry
35,ID31026,Barbara Jones,81,2020-01-01 21:08:13,7,On Time,B,Chemistry
36,ID95005,Jennifer Fernandez,81,2020-01-01 23:48:07,11,Late,B,Chemistry
37,ID93683,Greg Gibson,81,2020-01-01 05:54:03,0,On Time,B,Chemistry
38,ID26265,Kevin King,75,2020-01-01 14:36:00,38,On Time,B,Chemistry
39,ID33677,Daniel Gutierrez,84,2020-01-01 13:39:14,25,On Time,B,Chemistry
40,ID10739,Linda Pollard,91,2020-01-01 18:27:05,9,On Time,A,Chemistry
41,ID89005,David Page,73,2020-01-01 09:48:14,36,On Time,C,Chemistry
42,ID61841,Zachary Myers,92,2020-01-01 07:13:23,10,On Time,A,Chemistry
43,ID29346,Devon Torres,93,2020-01-01 03:29:31,12,On Time,A,Chemistry
44,ID84207,Wendy Hansen,90,2020-01-01 17:00:40,10,On Time,A,Chemistry
45,ID31304,Adam Miller,90,2020-01-01 06:36:30,1,On Time,A,Chemistry
46,ID35249,Marvin Sims,97,2020-01-01 17:27:13,15,On Time,A,Chemistry
47,ID31890,Samantha Gomez,75,2020-01-01 05:39:42,28,On Time,B,Chemistry
48,ID13425,Jill Chandler,97,2020-01-01 19:02:08,40,On Time,A,Chemistry
49,ID97255,William Johnson,88,2020-01-01 03:12:47,24,On Time,A,Chemistry
50,ID41093,Heather Owen,84,2020-01-01 09:00:23,8,On Time,B,Chemistry
51,ID68745,Steven Smith,79,2020-01-01 00:13:26,39,On Time,B,Chemistry
52,ID93597,Michele Romero,87,2020-01-01 02:53:32,35,On Time,A,Chemistry
53,ID60811,James Griffin,60,2020-01-01 05:10:24,3,On Time,D,Chemistry
54,ID26595,Christopher Kirby,90,2020-01-01 06:31:20,38,On Time,A,Chemistry
55,ID91772,Denise Garrett,92,2020-01-01 14:54:45,15,On Time,A,Chemistry
56,ID82607,Brandy Richards,85,2020-01-01 00:28:58,39,On Time,A,Chemistry
57,ID16875,Ashley Turner,66,2020-01-01 20:54:37,32,On Time,C,Chemistry
58,ID89835,Lauren Walker,68,2020-01-01 11:22:57,18,On Time,C,Chemistry
59,ID42386,Jimmy Erickson,78,2020-01-01 19:55:48,37,On Time,B,Chemistry
60,ID91111,Anita Williams,72,2020-01-01 00:08:08,21,On Time,C,Chemistry
61,ID76468,Alejandro Moore,90,2020-01-01 05:30:03,33,On Time,A,Chemistry
62,ID47991,Brandon Garrett,95,2020-01-01 08:39:55,21,On Time,A,Chemistry
63,ID87381,Keith Burch,64,2020-01-01 08:31:15,34,On Time,D,Chemistry
64,ID54396,Peter Silva,87,2020-01-01 13:19:10,23,On Time,A,Chemistry
65,ID79229,Travis Doyle,79,2020-01-01 13:22:08,30,On Time,B,Chemistry
66,ID99366,Stephen Garcia,86,2020-01-01 19:40:41,25,On Time,A,Chemistry
67,ID54992,Sarah Wilson,85,2020-01-01 08:22:36,3,On Time,A,Chemistry
68,ID81103,Rachel Melendez,78,2020-01-01 21:08:58,6,On Time,B,Chemistry
69,ID57578,Oscar Chan,91,2020-01-01 10:16:35,19,On Time,A,Chemistry
70,ID73381,Andrew Smith,88,2020-01-01 23:29:10,27,Late,A,Chemistry
71,ID62656,Kimberly Martinez,96,2020-01-01 00:27:47,16,On Time,A,Chemistry
72,ID18119,Amy Mendoza,73,2020-01-01 07:10:12,15,On Time,C,Chemistry
73,ID23280,Christina Williams,86,2020-01-01 16:02:18,27,On Time,A,Chemistry
74,ID49308,Sarah Chapman,83,2020-01-01 12:51:35,32,On Time,B,Chemistry
75,ID95394,Joseph Mccarty,81,2020-01-01 07:49:10,31,On Time,B,Chemistry
76,ID66945,Melissa Williams,91,2020-01-01 14:55:43,37,On Time,A,Chemistry
77,ID43099,Crystal Downs,65,2020-01-01 09:05:00,16,On Time,C,Chemistry
78,ID41430,Daniel Hobbs,89,2020-01-01 14:27:53,9,On Time,A,Chemistry
79,ID67334,Eric Torres,71,2020-01-01 12:50:56,3,On Time,C,Chemistry
80,ID77315,Melissa Peck,77,2020-01-01 21:23:00,37,On Time,B,Chemistry
81,ID74681,Brandon Cooper,96,2020-01-01 13:01:31,20,On Time,A,Chemistry
82,ID86373,Lisa Mcconnell,0,0,0,Missing,F,Chemistry
83,ID43319,Angela Edwards,82,2020-01-01 01:43:02,3,On Time,B,Chemistry
84,ID29292,Derek Estrada,94,2020-01-01 01:28:10,17,On Time,A,Chemistry
85,ID17630,Peter Smith,72,2020-01-01 01:43:59,7,On Time,C,Chemistry
86,ID98601,Carla Newton,68,2020-01-01 22:04:34,3,Late,C,Chemistry
87,ID86723,Amanda Daniels,87,2020-01-01 04:04:10,38,On Time,A,Chemistry
88,ID52828,Adrienne Crawford,92,2020-01-01 04:00:38,14,On Time,A,Chemistry
89,ID31588,James Lee,87,2020-01-01 17:44:54,19,On Time,A,Chemistry
90,ID17154,Derek Robinson,88,2020-01-01 02:03:44,33,On Time,A,Chemistry
91,ID46064,Steven Rush,95,2020-01-01 11:51:19,39,On Time,A,Chemistry
92,ID25860,Alexander Adams,99,2020-01-01 11:26:26,13,On Time,A,Chemistry
93,ID16648,Casey Stanley,77,2020-01-01 01:21:54,36,On Time,B,Chemistry
94,ID88035,Harold Jackson,80,2020-01-01 23:09:56,22,Late,B,Chemistry
95,ID38723,Jacqueline Ayala,79,2020-01-01 17:45:07,21,On Time,B,Chemistry
96,ID50613,Jennifer Smith,90,2020-01-01 08:04:39,29,On Time,A,Chemistry
97,ID78749,Amanda Porter,91,2020-01-01 08:57:45,0,On Time,A,Chemistry
98,ID91418,Rachel Kelly DVM,86,2020-01-01 10:05:36,7,On Time,A,Chemistry
99,ID38371,Kevin Johnston,77,2020-01-01 14:09:25,30,On Time,B,Chemistry
